day,type,pillar,title,objective,audience,funnel_stage,spoken_hook,onscreen_hook,ab_hook_alt,hook_score,cta,platforms,production,est_time_min,est_cost_aud,success_metric,pack_ref
1,short_video,why-posts-stall,"The Reel that died at 212 views",Reach + pain recognition,creators,TOFU,"This Reel died at 212 views. Here's the exact second it lost everyone.","died at 212 views. here's the second it happened","Your Reel didn't flop. It flopped at second two — here's proof.",9,"Follow for daily teardowns",IG+TT+YT,Higgsfield pack,90,12,"3s hold rate >70%; 1k+ accounts reached",higgsfield/videos/day-01-reel-autopsy
2,carousel,creator-mistakes,"5 reasons Reels die in the first 3 seconds",Saves,creators,TOFU,-,"5 reasons Reels die in the first 3 seconds. #4 is the one everyone defends.",-,8.5,"Save this before your next edit",IG+LI,Design template,60,0,"Save rate >2%",-
3,short_video,platform-myths,"Posting time is mostly noise",Shares + differentiation,creators,TOFU,"Posting time didn't kill your Reel. Your first 0.8 seconds did.","it's not WHEN you post","Everyone blames the algorithm. The data blames your first second.",9,"Share this with someone who schedules posts at 6:03pm",IG+TT+YT,Higgsfield pack,90,12,"Share rate >1%",higgsfield/videos/day-03-posting-time-myth
4,teardown_post,why-posts-worked,"Teardown: why a famous food Reel held 90% retention",Authority,creators+SMMs,TOFU,-,"We tore down a Reel with insane retention. Here's the engineering.",-,8.5,"Follow for weekly public teardowns",IG+LI,Carousel from public post analysis,75,0,"Profile visits +","-"
5,short_video,creator-mistakes,"3 hours editing 30 seconds on the hook",Pain recognition,creators,TOFU,"POV: you spent three hours editing and thirty seconds on the thing that decides everything.","3 hrs editing. 30 sec on the hook.","The part of your Reel you spend the least time on decides the most.",8,"Comment 'guilty' if this is you",IG+TT,Higgsfield pack,75,10,"Comment rate >0.8%",higgsfield/videos/day-05-hook-time-pov
6,carousel,hook-teardowns,"8 hook patterns that keep working",Saves + authority,creators,TOFU,-,"8 hook patterns that keep working (with the why)",-,8,"Save the library",IG+LI,Design template,60,0,"Save rate >2.5%",-
7,founder_video,behind-the-scenes,"Why we're building the anti-spy-app",Trust,all,MOFU,"Every week a new app claims to show who viewed your profile. They're all lying. Here's what we're building instead.","the 'who viewed you' apps are lying to you","I got tired of tools that lie to creators. So we're building the opposite.",9,"Waitlist in bio — 200 founding seats",IG+TT+YT+LI,Self-filmed phone,45,0,"Waitlist clicks >100",self-filmed (not AI)
8,short_video,retention,"The 18-second desert",Saves,creators+SMMs,TOFU,"This Reel has a strong hook a great ending and an 18-second desert in the middle where everyone left.","the 18-second desert","Your hook isn't the problem. Second 14 to 32 is the problem.",8.5,"Save this before your next talking-head Reel",IG+TT+YT,Higgsfield pack,90,12,"Save rate >2%",higgsfield/videos/day-08-retention-desert
9,myth_post,honest-limits,"Nobody can see who saved your post",Trust + shares,all,TOFU,-,"Apps that show who saved your post: how they actually work (they don't)",-,9,"Share to save someone's account",IG+LI,Single image + caption essay,40,0,"Share rate >1.5%",-
10,short_video,before-after,"Same Reel one fix double the hold",Product curiosity,creators,MOFU,"Same Reel. One change. Watch the first three seconds decide everything twice.","same reel. one fix. watch.","We re-cut one Reel's first 2 seconds. Here's the before and after.",9,"The full breakdown method is in bio",IG+TT+YT,Higgsfield pack,120,15,"Profile visits; demo page visits",higgsfield/videos/day-10-before-after
11,carousel,saves-strategy,"Why saves beat likes and what earns them",Saves + education,creators+brands,TOFU,-,"Likes are applause. Saves are homework. Here's what earns saves.",-,8,"Save this (yes the irony is intended)",IG+LI,Design template,60,0,"Save rate >2.5%",-
12,short_video,trend-usage,"The silent process trend done right",Trend authority,creators,TOFU,"This format is quietly beating voiceover content right now — but only if you nail one thing.","the 'silent process' format is winning","No voiceover. No script. Rising engagement. Here's the catch.",8,"Follow for weekly trend reads",IG+TT,Higgsfield pack,90,12,"Reach vs baseline",higgsfield/videos/day-12-silent-process
13,teardown_post,why-posts-stall,"Teardown: a strong Reel that under-delivered",Authority + honesty,creators+SMMs,MOFU,-,"Great content. Weak result. The teardown explains what the eye can't see.",-,8,"Follow for the weekly teardown",IG+LI,Carousel,75,0,"Save rate",-
14,founder_video,behind-the-scenes,"How we score a hook (building in public)",Product education,creators+SMMs,MOFU,"We taught a model to grade the first second of a Reel. Here's what it looks for — and where it still gets it wrong.","how we grade your first second","What actually happens when EchoSight reads your hook.",8.5,"Try the live demo — link in bio",IG+YT+LI,Self-filmed + screen capture,60,0,"Demo page visits",self-filmed (not AI)
15,product_demo,product-led,"Free Reel review walkthrough",Free-value conversion,creators,BOFU,"Send us one Reel and this is exactly what you get back — for free.","what the free reel review looks like","We review your Reel free. This is what 'review' actually means.",8.5,"Free review — link in bio",IG+TT+YT,Screen capture of demo,50,0,"Free-review requests >50",screen-capture (not AI)
16,short_video,hook-teardowns,"Anatomy of a 0.8 second hook",Education + saves,creators,TOFU,"A working hook does three jobs in under one second. Miss one and the scroll wins.","3 jobs. 0.8 seconds.","What has to happen in your first second (frame by frame).",9,"Save the checklist at the end",IG+TT+YT,Higgsfield pack,90,12,"Save rate >2%",higgsfield/videos/day-16-hook-anatomy
17,carousel,captions,"Your CTA is buried at line six",Saves,creators+SMMs,TOFU,-,"Caption autopsy: why your CTA at line 6 does nothing",-,8,"Save the caption template",IG+LI,Design template,60,0,"Save rate >2%",-
18,short_video,community,"Send me your worst Reel",Engagement + pipeline,creators,MOFU,"Send me your worst-performing Reel and I'll tell you why it flopped. Seriously. Worst one you've got.","send me your worst reel","Your most painful flop — I'll find the exact second it died.",8.5,"Drop the link in comments or DM",IG+TT,Higgsfield pack,75,10,"Comments >30; review pipeline",higgsfield/videos/day-18-worst-reel-challenge
19,teardown_post,why-posts-worked,"Teardown: the carousel that wouldn't stop getting saved",Authority,creators+brands,TOFU,-,"This carousel earned saves for 6 weeks straight. The structure is stealable.",-,8,"Save the structure",IG+LI,Carousel,75,0,"Save rate >2.5%",-
20,short_video,why-posts-worked,"Why this Reel did 3.1x (it wasn't luck)",Authority,creators,MOFU,"This Reel did three point one times the account's average. Luck? No — four decisions you can copy.","3.1x. not luck. four decisions.","When a Reel outperforms there's always a reason. Here are four.",8.5,"The scoring method is in bio",IG+TT+YT,Higgsfield pack,90,12,"Profile visits",higgsfield/videos/day-20-not-luck
21,myth_post,platform-myths,"Engagement pods and hashtag magic",Trust,creators,TOFU,-,"Things that feel like strategy but aren't: pods; 30 hashtags; posting at 6:03pm",-,8,"Share with someone still in a pod",IG+LI,Single image + caption essay,40,0,"Share rate >1%",-
22,short_video,retention,"Find your retention cliff",Education + product,creators,MOFU,"Every Reel has a cliff — the second where most viewers leave. Find yours and everything changes.","every reel has a cliff","You're not losing viewers evenly. You're losing them at one exact moment.",8.5,"Free review finds your cliff — bio",IG+TT+YT,Higgsfield pack,90,12,"Free-review requests",higgsfield/videos/day-22-retention-cliff
23,carousel,pre-flight,"The pre-post checklist",Saves + product concept,creators+SMMs,MOFU,-,"9 checks before you post (the pre-flight checklist)",-,8,"Save for your next post",IG+LI,Design template,60,0,"Save rate >3%",-
24,product_demo,product-led,"Watch a score change in real time",Product proof,creators+SMMs,BOFU,"We scored this rough cut re-edited one thing and scored it again. Watch the number move.","watch the score move","Same Reel. One edit. The score moves — and tells you why.",9,"Try it on the demo — link in bio",IG+TT+YT,Screen capture of demo,50,0,"Demo visits >200",screen-capture (not AI)
25,short_video,agency-workflows,"The client asked why and you guessed",Agency pain,SMMs+agencies,MOFU,"Your client asks why engagement dropped. You write two paragraphs of educated guessing. There's a better answer.","'why did engagement drop?' 'well...'","Agency life: explaining a graph you can't explain.",8.5,"White-label reports — waitlist in bio",IG+LI+TT,Higgsfield pack,90,12,"Agency waitlist signups",higgsfield/videos/day-25-agency-why
26,teardown_post,honest-limits,"Teardown: a Reel we'd have scored wrong",Trust,all,MOFU,-,"Our system would have under-scored this winner. Publishing that on purpose.",-,8.5,"Follow for honest scoring",IG+LI,Carousel,75,0,"Trust signals: comments sentiment",-
27,founder_video,honest-limits,"What no tool can know (including ours)",Trust,all,MOFU,"Here's everything no analytics tool can see — including the one I'm building.","what NO tool can see","The honest limits of every Instagram tool ever built.",9,"That honesty is the product — bio",IG+TT+YT+LI,Self-filmed phone,45,0,"Waitlist conversion quality",self-filmed (not AI)
28,short_video,product-led,"200 seats because that's the real number",Founding offer,creators,BOFU,"We're capping the beta at 200 people and the reason isn't marketing — it's calendars.","200 seats. real reason: calendars.","Why our beta cap is a number we can actually onboard.",8,"Founding seats — link in bio",IG+TT,Higgsfield pack,75,10,"Waitlist signups >150 cumulative",higgsfield/videos/day-28-founding-200
29,carousel,honest-limits,"What we will never do",Trust manifesto,all,MOFU,-,"Our 'never' list: no spying claims no scraping no guarantees",-,8.5,"Save it. Hold us to it.",IG+LI,Design template,60,0,"Shares + saves; sentiment",-
30,launch_post,product-led,"Founding cohort is open",Conversion,all,BOFU,"Two hundred founding seats. One-on-one onboarding. Every price public. Open now.","founding cohort: open","30 days of teardowns later — the doors open today.",8,"Claim a founding seat — link in bio",IG+TT+YT+LI,Mixed: carousel + 30s cutdown of D10,90,10,"Founding conversions; goal 40+ of 200 seats",-
