day,phase,channel,engine,format,title,hook_ref,cta,notes
1,1,IG+TT,founder-build,video 30s,Why I'm starting a clothing company,H31,Follow the build,Film everything from day 1
2,1,IG+TT,founder-build,video 45s,20 names on a whiteboard,H35,Vote in comments,Name-test content
3,1,IG stories,founder-build,story poll,Name shortlist poll,H35,Vote,DM voters personally
4,1,IG+TT,founder-build,video 30s,The $1200 lawyer call,H33,Follow,Trademark transparency
5,1,IG+TT,opinion,video 20s,AU streetwear is designed for Melbourne,H85,Comment your city,Category-creation seed
6,1,IG+TT,founder-build,video 30s,Customer interviews recap,H49,Join VIP list,First list push
7,1,IG stories,community,Q&A,Ask me anything about the build,H97,Questions box,
8,1,IG+TT,founder-build,video 30s,Mood board reveal — coastal infrastructure not palm trees,H31,Follow,Visual identity tease
9,1,IG+TT,education,video 40s,How to read GSM,H89,Save this,Education pillar begins
10,1,IG+TT,founder-build,video 20s,ABN day — it's real now,H32,VIP list,
11,1,IG+TT,founder-build,video 30s,Designing the wordmark live,H50,Comment favourite,
12,1,IG+TT,opinion,video 20s,Fake countdown timers should be banned,H82,Follow,Honesty positioning
13,1,IG+TT,founder-build,video 20s,VIP list is open — first 500,H39,Link in bio,Landing page live
14,1,email,founder-build,email,VIP welcome E1 — You're in,,Watch the build,Flow 1 begins
15,2,IG+TT,product-proof,video 30s,Blank samples arrived — the weigh-in,H14,Follow,Kitchen scale demo
17,2,IG+TT,product-proof,video 30s,Fabric test: see-through check,H6,Vote fabric A/B,Community vote
19,2,IG+TT,founder-build,video 30s,Artwork day: the tide table graphic,H50,Comment,
21,2,IG+TT,product-proof,video 40s,Neck rib stretch test — cheap vs ours,H7,Follow,Signature demo v1
23,2,IG+TT,founder-build,video 30s,First print test failed,H34,Follow,Failure content
25,2,IG+TT,founder-build,video 45s,Fit day: 5 mates 5 bodies,H25,VIP list,Fit tool data collection
27,2,IG+TT,lifestyle,video 20s,One outfit 18 hours — prototype run,H61,Follow,Uniform format debut
28,2,IG+TT,product-proof,video 40s,Wash test week begins,H11,Follow,3-cycle series
30,2,IG+TT,product-proof,video 30s,Wash test results with tape measure,H11,VIP list,
32,2,IG+TT,founder-build,video 30s,What our tee actually costs,H16,Follow,Cost anatomy
33,2,IG+TT,founder-build,video 20s,I just ordered $6k of stock on camera,H38,VIP list,Commitment content
35,2,email,product,email,VIP E2 — Why your favourite tee died at the neck,,See COASTFORM,Flow 1 E2
36,3,IG+TT,founder-build,video 30s,Building the website live,H49,VIP list,
38,3,IG+TT,lifestyle,video 30s,Golden hour shoot BTS — $0 budget,H72,Follow,Phone-shot proof
41,3,IG+TT,lifestyle,video 30s,The Uniform: sunrise to dinner cut 1,H61,VIP list,Hero edit v1
43,3,IG+TT,product-proof,video 30s,Hood stand test,H10,Follow,
45,3,IG+TT,founder-build,video 30s,Packaging decisions + costs,H36,Comment,
47,3,IG+TT,community,video 20s,STATE CREW applications open,H98,Apply link,Creator recruitment
49,3,IG+TT,education,video 40s,Combed vs carded cotton,H90,Save,
51,3,IG+TT,product-proof,video 30s,The fit chart promise — measuring a random unit,H23,VIP list,
53,3,IG+TT,founder-build,video 30s,Site test order end-to-end,H49,VIP list,Gate 3 content
55,3,email,founder,email,VIP E3 — Five products. That's the whole launch,,Preview DROP 001,Flow 1 E3
56,4,IG+TT+email,drop,video 30s,Reveal 1: HEATFORM TEE,H1,VIP early access,Reveal week
57,4,IG+TT+email,drop,video 30s,Reveal 2: TRANSIT SHORT,H21,VIP early access,
58,4,IG+TT+email,drop,video 30s,Reveal 3: AFTERDARK HOODIE,H10,VIP early access,
59,4,IG+TT+email,drop,video 30s,Reveal 4: BREAKLINE CAP,H15,VIP early access,
60,4,IG+TT+email,drop,video 30s,Reveal 5: AIRLINE JERSEY,H78,VIP early access,
61,4,IG+TT,creator,UGC,Creator seeding unboxings go live,H76,Follow creators,10 seeds shipped day 59
62,4,email+SMS,drop,flow,VIP early access opens 48h,,Shop early access,Honest stock counts shown
64,4,IG+TT,founder-build,video 30s,Packing the first VIP orders,H41,Public launch date,
66,4,IG+TT,founder-build,video 20s,What the VIP wave broke (and fixes),H60,Follow,
68,4,IG+TT,drop,video 20s,Launch countdown — real timer to real event,H82,Set reminder,Paid warm-up $10-20/day
70,4,email,drop,email,T-1: Tomorrow 6am AEST,,Get ready,Flow 4
71,5,all,launch,live+video,PUBLIC LAUNCH day — founder live,H42,Shop DROP 001,Ads to $30/day
72,5,IG+TT,community,reposts,Customer content reposts begin,H76,Shop,Permission-first
74,5,IG+TT,founder-build,video 30s,First 100 orders recap,H43,Shop,
76,5,IG+TT,product-proof,video 30s,Best-performing proof ad re-cut organic,H7,Shop,Creative read-out
78,5,IG+TT,community,video 20s,First Light Club event 1 announced,H98,RSVP,Sunrise walk + coffee GC
80,5,email,education,email,Product education flow to non-buyers,,Learn the standard,Flow 3
82,5,IG+TT,opinion,video 20s,We show live stock because scarcity theatre is embarrassing,H96,Shop,Retargeting layer on
85,5,IG+TT,community,video 45s,First Light Club event 1 recap,H53,Join next month,Filmed by creators
87,5,IG+TT,founder-build,video 30s,Restock decision live with sell-through data,H54,Vote,Model 2 decision
89,5,IG+TT,founder-build,video 60s,90-day retro: all the numbers,H55,Join VIP,Radical transparency
90,5,email,founder,email,The 90-day letter + what's next,,Drop 002 waitlist,Cycle restarts
