day,date_posted,platform,format,reach,plays,hold_3s_pct,avg_watch_pct,likes,comments,saves,shares,profile_visits,link_clicks,waitlist_signups,free_review_requests,followers_delta,hook_variant_used,target_metric,target_value,actual_vs_target,top_learning
1,,IG,reel,,,,,,,,,,,,,,A,hold_3s_pct,70%,,
1,,TT,video,,,,,,,,,,,,,,B,hold_3s_pct,70%,,
2,,IG,carousel,,,,-,,,,,,,,,,-,save_rate,2%,,
3,,IG,reel,,,,,,,,,,,,,,A,share_rate,1%,,
4,,IG,carousel,,,,-,,,,,,,,,,-,profile_visits,+,,
5,,IG,reel,,,,,,,,,,,,,,A,comment_rate,0.8%,,
6,,IG,carousel,,,,-,,,,,,,,,,-,save_rate,2.5%,,
7,,IG,reel,,,,,,,,,,,,,,A,link_clicks,100,,
8,,IG,reel,,,,,,,,,,,,,,A,save_rate,2%,,
9,,IG,image,,,,-,,,,,,,,,,-,share_rate,1.5%,,
10,,IG,reel,,,,,,,,,,,,,,A,profile_visits,+,,
11,,IG,carousel,,,,-,,,,,,,,,,-,save_rate,2.5%,,
12,,IG,reel,,,,,,,,,,,,,,A,reach_vs_baseline,1x,,
13,,IG,carousel,,,,-,,,,,,,,,,-,save_rate,2%,,
14,,IG,reel,,,,,,,,,,,,,,A,demo_visits,+,,
15,,IG,reel,,,,,,,,,,,,,,A,free_review_requests,50,,
16,,IG,reel,,,,,,,,,,,,,,A,save_rate,2%,,
17,,IG,carousel,,,,-,,,,,,,,,,-,save_rate,2%,,
18,,IG,reel,,,,,,,,,,,,,,A,comments,30,,
19,,IG,carousel,,,,-,,,,,,,,,,-,save_rate,2.5%,,
20,,IG,reel,,,,,,,,,,,,,,A,profile_visits,+,,
21,,IG,image,,,,-,,,,,,,,,,-,share_rate,1%,,
22,,IG,reel,,,,,,,,,,,,,,A,free_review_requests,+,,
23,,IG,carousel,,,,-,,,,,,,,,,-,save_rate,3%,,
24,,IG,reel,,,,,,,,,,,,,,A,demo_visits,200,,
25,,LI,video,,,,,,,,,,,,,,A,agency_signups,+,,
26,,IG,carousel,,,,-,,,,,,,,,,-,sentiment,positive,,
27,,IG,reel,,,,,,,,,,,,,,A,waitlist_quality,+,,
28,,IG,reel,,,,,,,,,,,,,,A,waitlist_signups,150 cumulative,,
29,,IG,carousel,,,,-,,,,,,,,,,-,saves+shares,+,,
30,,IG,carousel+reel,,,,,,,,,,,,,,A,founding_seats,40,,
